Q;Model Intensity
0.00156;0.0537021382871588
0.00168;0.05369663896448335
0.00182;0.05368970903584169
0.00197;0.05368167002509068
0.00212;0.05367299603140727
0.00229;0.05366239827151845
0.00248;0.05364958960767497
0.00267;0.05363576397944485
0.00289;0.05361848589514649
0.00312;0.05359896717219492
0.00337;0.05357606577734257
0.00364;0.05354936290644262
0.00393;0.05351840751968713
0.00424;0.05348271676877777
0.00458;0.05344048852120548
0.00495;0.05339087763490875
0.00534;0.05333447087769819
0.00577;0.05326740047777243
0.00623;0.05319000804451417
0.00673;0.05309929952299134
0.00727;0.05299366840873756
0.007849999999999999;0.05287139954328901
0.00848;0.05272832154694757
0.00916;0.05256198826914266
0.009889999999999999;0.05236980832034178
0.01068;0.05214612847817819
0.01154;0.05188431881926645
0.01246;0.0515834435361448
0.01346;0.05123246767427014
0.01453;0.05082990482470589
0.0157;0.05035856351943675
0.01695;0.04982011039052069
0.01831;0.04919479426809784
0.01977;0.04847962886074712
0.02136;0.04765169881014759
0.02307;0.04670758106966145
0.02491;0.04563398883564015
0.0269;0.04441138710942252
0.02906;0.0430196916169913
0.03138;0.04145978746955863
0.03389;0.03970876641286479
0.0366;0.03776019410357027
0.03953;0.03560555031871796
0.04269;0.03325039181654425
0.04611;0.0306941911500745
0.0498;0.02796222653752458
0.05378;0.02508496994653622
0.05808;0.0220999339142607
0.06272999999999999;0.01906026991972218
0.06775;0.01603986829043251
0.07317;0.01311684203729173
0.07902000000000001;0.01037490776579448
0.08534;0.008000229791853868
0.09217;0.006163589485891787
0.09954;0.004749663581893923
0.10751;0.00365885949058167
0.11611;0.002819238423529255
0.12539;0.002172756156124621
0.13543;0.001673752845743332
0.14626;0.001289767780192255
0.15796;0.000993790662848883
0.1706;0.0007656728606351415
0.18425;0.0005899337213796427
0.19899;0.000454547380407885
0.2149;0.0003502822073476955
0.2321;0.0002698629762227148
0.25066;0.0002079534819385041
0.27072;0.0001602149380549993
0.29237;0.0001234574168861067
0.31576;9.51242530975982e-05
0.34103;7.328709520403333e-05
0.36831;5.64693816959541e-05
0.39777;4.351176729230019e-05
0.42959;3.352649401296352e-05
0.46396;2.583183148792344e-05
0.4909;2.133626177979378e-05
