#
 9.268175174118523e-03 9.704997516827938e-01 7.527176229649112e-02
 9.529042151304378e-03 1.048473648403495e+00 7.792839846639908e-02
 9.797251628875436e-03 1.071834923341405e+00 6.666572518352923e-02
 1.007301027274429e-02 1.000058833242602e+00 5.621222356710846e-02
 1.035653056575200e-02 9.995968123734572e-01 5.253189109456426e-02
 1.064803097139443e-02 9.452851500295776e-01 4.561275245873814e-02
 1.094773610215694e-02 1.017355092847083e+00 4.392744915198273e-02
 1.125587689258711e-02 9.535786098078685e-01 3.864753411117382e-02
 1.157269077723885e-02 9.600491302152250e-01 3.583476670133420e-02
 1.189842187362504e-02 9.673009098300902e-01 3.302986745929286e-02
 1.223332117031964e-02 9.762934633256138e-01 3.108688029839890e-02
 1.257764672035419e-02 9.803289533167224e-01 2.863985752370335e-02
 1.293166384005785e-02 9.450930755015450e-01 2.636686810444934e-02
 1.329564531349395e-02 8.985343195082965e-01 2.396297228621157e-02
 1.366987160265085e-02 9.074310877970291e-01 2.241438655620725e-02
 1.405463106354887e-02 9.249559015201800e-01 2.118310385788858e-02
 1.445022016842993e-02 9.196199549103776e-01 1.979112619748470e-02
 1.485694373420100e-02 7.652847133321947e-01 1.658911222881890e-02
 1.527511515730748e-02 7.090681245902583e-01 1.484683276864606e-02
 1.570505665521747e-02 6.617715559351121e-01 1.353291366099468e-02
 1.614709951470289e-02 6.112718416461994e-01 1.198497397373699e-02
 1.660158434710900e-02 6.122834838936663e-01 1.142207019705687e-02
 1.706886135080873e-02 5.881748373149387e-01 1.055623598881743e-02
 1.754929058104427e-02 5.650297742237467e-01 9.747888179982111e-03
 1.804324222736375e-02 5.277495504171086e-01 9.181084641194661e-03
 1.855109689886679e-02 5.106458163083318e-01 1.342661468368003e-02
 1.907324591747870e-02 4.691411654489363e-01 1.171773941934705e-02
 1.961009161947940e-02 4.155354390228804e-01 9.984448981536088e-03
 2.016204766551926e-02 3.526160185683532e-01 8.279851797325615e-03
 2.072953935936086e-02 3.268338009761347e-01 7.774652991582845e-03
 2.131300397559217e-02 2.707640907473576e-01 6.417404329811276e-03
 2.191289109656382e-02 2.253644532809798e-01 5.355319025079274e-03
 2.252966295880984e-02 1.863449713723194e-01 4.012978024509210e-03
 2.316379480921909e-02 1.442936752753210e-01 3.183318472336280e-03
 2.381577527123157e-02 1.159834796690039e-01 2.601561369651681e-03
 2.448610672134194e-02 9.200410610398858e-02 2.140904489740962e-03
 2.517530567620030e-02 8.157084519149815e-02 1.950474600261759e-03
 2.588390319060851e-02 6.443930362912551e-02 1.609135520503837e-03
 2.661244526671871e-02 6.025581255558039e-02 1.481265686725050e-03
 2.736149327474939e-02 5.997143882817223e-02 1.425629717407749e-03
 2.813162438554315e-02 5.827444661443325e-02 1.333861819215717e-03
 2.892343201529940e-02 6.025684150456063e-02 1.309390261494786e-03
 2.973752628282486e-02 6.203594867542951e-02 1.265730884100210e-03
 3.057453447965399e-02 6.177828413032197e-02 1.219875849810244e-03
 3.143510155340166e-02 5.944606844894216e-02 1.138443949048073e-03
 3.231989060472062e-02 5.716319878942145e-02 1.070808528450785e-03
 3.322958339824649e-02 5.269737693493900e-02 9.769468538658409e-04
 3.416488088792415e-02 4.545312079860916e-02 8.537870514869230e-04
 3.512650375712021e-02 3.753212109184571e-02 7.328699362034795e-04
 3.611519297393781e-02 3.008761784375679e-02 6.135272772844511e-04
 3.713171036216154e-02 2.257771675522301e-02 4.995281810640131e-04
 3.817683918827255e-02 1.544767196270816e-02 3.853195426096586e-04
 3.925138476498608e-02 9.810687419231840e-03 2.867555159600283e-04
 4.035617507177640e-02 6.109598981166615e-03 2.128545001046999e-04
 4.149206139286751e-02 3.038613273146434e-03 1.412682493727468e-04
 4.265991897318096e-02 1.824730061514803e-03 1.041763278475944e-04
 4.386064769274637e-02 1.495083215572834e-03 9.350303085768669e-05
 4.509517276009423e-02 1.565607702821309e-03 9.587845250174161e-05
 4.636444542516538e-02 1.641012864306323e-03 8.639147444986687e-05
 4.766944371228632e-02 1.623964352775238e-03 8.416005289557551e-05
 4.901117317377528e-02 1.237444043113875e-03 6.878225457760381e-05
 5.039066766475971e-02 8.940240102006200e-04 5.610437026925664e-05
 5.180899013980217e-02 3.865945201598193e-04 3.474114108297259e-05
