0.00927,0.885,0.0596
0.00953,0.909,0.0607
0.0098,0.967,0.0526
0.0101,0.884,0.0439
0.0104,0.909,0.0428
0.0106,0.818,0.0356
0.0109,0.869,0.0339
0.0113,0.847,0.0309
0.0116,0.817,0.0276
0.0119,0.836,0.0259
0.0122,0.767,0.023
0.0126,0.785,0.0214
0.0129,0.792,0.0202
0.0133,0.749,0.0182
0.0137,0.722,0.0166
0.0141,0.732,0.0156
0.0144,0.706,0.0143
0.0149,0.671,0.013
0.0153,0.619,0.0116
0.0157,0.602,0.0108
0.0161,0.56,0.00959
0.0166,0.549,0.009
0.0171,0.513,0.00819
0.0175,0.464,0.00731
0.018,0.443,0.00692
0.0185,0.423,0.0107
0.0191,0.376,0.00905
0.0196,0.334,0.00771
0.0202,0.296,0.00661
0.0207,0.269,0.00607
0.0213,0.241,0.00531
0.0219,0.199,0.0044
0.0225,0.175,0.0035
0.0232,0.15,0.00296
0.0238,0.126,0.00249
0.0245,0.108,0.00214
0.0252,0.0954,0.00195
0.0259,0.0812,0.00168
0.0266,0.0713,0.00148
0.0273,0.0599,0.00129
0.0281,0.0533,0.00115
0.0289,0.05,0.00106
0.0297,0.0467,0.000971
0.0306,0.043,0.000892
0.0314,0.0422,0.000842
0.0323,0.0381,0.000766
0.0332,0.0366,0.000719
0.0341,0.0338,0.000654
0.0351,0.0322,0.000617
0.0361,0.0277,0.000542
0.0371,0.0256,0.000501
0.0382,0.0212,0.000433
0.0392,0.0184,0.000385
0.0403,0.0148,0.000328
0.0415,0.0108,0.000267
0.0426,0.00785,0.000215
0.0438,0.00531,0.000175
0.0451,0.00294,0.000129
0.0463,0.00132,7.86e-05
0.0476,0.000588,4.74e-05
0.049,0.000184,2.53e-05
0.0503,0.000114,1.96e-05
0.0518,0.000325,3.21e-05
0.0532,0.000641,4.34e-05
0.0547,0.000894,5.05e-05
0.0563,0.00111,5.44e-05
0.0578,0.00115,5.33e-05
0.0595,0.00104,4.89e-05
0.0611,0.000938,4.53e-05
0.0629,0.000729,3.79e-05
0.0646,0.000603,3.32e-05
0.0664,0.000514,2.92e-05
0.0683,0.000461,2.67e-05
0.0702,0.000531,2.75e-05
0.0722,0.00061,2.86e-05
0.0742,0.000675,2.92e-05
0.0763,0.000742,2.95e-05
0.0785,0.000726,2.83e-05
0.0807,0.000656,2.57e-05
0.083,0.000504,2.15e-05
0.0853,0.000359,1.73e-05
0.0877,0.000182,1.16e-05
0.0902,6.65e-05,6.68e-06
0.0927,1.91e-05,3.52e-06
0.0953,1.08e-05,2.52e-06
0.098,2.67e-05,3.83e-06
0.101,3.75e-05,4.41e-06
0.104,4e-05,4.55e-06
0.106,4.17e-05,4.56e-06
0.109,3.12e-05,3.84e-06
0.113,5.11e-05,4.89e-06
0.116,4.25e-05,4.29e-06
0.119,4.02e-05,4.13e-06
0.122,7.5e-05,5.69e-06
0.126,6.52e-05,5.34e-06
0.129,5.59e-05,4.86e-06
0.133,3.17e-05,3.78e-06
0.137,1.13e-05,2.23e-06
0.141,9.23e-06,1.95e-06
0.144,1.49e-05,2.39e-06
0.149,1.37e-05,2.21e-06
0.153,8.87e-06,1.75e-06
0.157,8.99e-06,1.68e-06
0.161,1.52e-05,2.18e-06
0.166,1.76e-05,2.29e-06
0.171,1.38e-05,1.98e-06
0.175,1.03e-05,1.67e-06
0.18,9.05e-06,1.54e-06
0.185,1.01e-05,1.62e-06
0.191,6.59e-06,1.3e-06
0.196,8.48e-06,1.46e-06
0.202,8.85e-06,1.46e-06
0.207,8.55e-06,1.44e-06
0.213,7.72e-06,1.38e-06
0.219,5.72e-06,1.19e-06
0.225,9.16e-06,1.59e-06
0.232,7.76e-06,1.49e-06
0.238,6.7e-06,1.44e-06
0.245,9.86e-06,1.88e-06
0.252,7.98e-06,1.77e-06
0.259,6.16e-06,1.63e-06
0.266,8.72e-06,2.04e-06
0.272,5.79e-06,2.42e-06
