0.00927,1.04,0.0784
0.00953,1.06,0.077
0.0098,1.06,0.0649
0.0101,0.927,0.0535
0.0104,1.09,0.0548
0.0106,0.9,0.0439
0.0109,0.883,0.04
0.0113,0.638,0.0307
0.0116,0.453,0.0233
0.0119,0.424,0.0208
0.0122,0.453,0.0201
0.0126,0.46,0.0187
0.0129,0.462,0.0176
0.0133,0.441,0.016
0.0137,0.468,0.0154
0.0141,0.454,0.0142
0.0144,0.438,0.0131
0.0149,0.411,0.0118
0.0153,0.413,0.0111
0.0157,0.397,0.0103
0.0161,0.352,0.00894
0.0166,0.321,0.00809
0.0171,0.303,0.00743
0.0175,0.279,0.00674
0.018,0.246,0.00605
0.0185,0.229,0.00745
0.0191,0.194,0.00619
0.0196,0.161,0.00508
0.0202,0.129,0.00416
0.0207,0.109,0.00371
0.0213,0.0862,0.00307
0.0219,0.0631,0.00244
0.0225,0.0497,0.00181
0.0232,0.0329,0.00136
0.0238,0.0241,0.00108
0.0245,0.0171,0.000852
0.0252,0.014,0.000754
0.0259,0.0124,0.000671
0.0266,0.014,0.000683
0.0273,0.0134,0.000635
0.0281,0.0166,0.00068
0.0289,0.0183,0.000689
0.0297,0.0194,0.000678
0.0306,0.0211,0.000681
0.0314,0.0188,0.000609
0.0323,0.0196,0.000604
0.0332,0.0166,0.000528
0.0341,0.0148,0.000471
0.0351,0.0119,0.000402
0.0361,0.00872,0.000323
0.0371,0.0062,0.000258
0.0382,0.00406,0.000197
0.0392,0.00251,0.000146
0.0403,0.00153,0.000108
0.0415,0.000723,7.21e-05
0.0426,0.000549,5.89e-05
0.0438,0.000407,4.92e-05
0.0451,0.00055,5.71e-05
0.0463,0.000424,4.59e-05
0.0476,0.000504,4.56e-05
0.049,0.00036,3.7e-05
0.0503,0.000184,2.53e-05
0.0518,5.14e-05,1.27e-05
0.0532,5.54e-05,1.23e-05
0.0547,0.000199,2.33e-05
0.0563,0.000384,3.15e-05
0.0578,0.000657,4.03e-05
0.0595,0.000879,4.65e-05
0.0611,0.00097,4.78e-05
0.0629,0.000841,4.26e-05
0.0646,0.000644,3.55e-05
0.0664,0.000389,2.59e-05
0.0683,0.000181,1.68e-05
0.0702,8.55e-05,1.09e-05
0.0722,0.000122,1.25e-05
0.0742,0.000226,1.66e-05
0.0763,0.00036,2.05e-05
0.0785,0.000404,2.13e-05
0.0807,0.000312,1.77e-05
0.083,0.000216,1.4e-05
0.0853,0.000112,9.55e-06
0.0877,3.05e-05,4.74e-06
0.0902,1.41e-05,3.06e-06
0.0927,2.3e-05,3.85e-06
0.0953,2.71e-05,4.07e-06
0.098,1.64e-05,2.98e-06
0.101,7.04e-06,1.87e-06
0.104,2.2e-05,3.31e-06
0.106,3.35e-05,4.06e-06
0.109,4.46e-05,4.67e-06
0.113,3.82e-05,4.3e-06
0.116,1.8e-05,2.77e-06
0.119,1.38e-05,2.4e-06
0.122,2.73e-05,3.36e-06
0.126,3.48e-05,3.84e-06
0.129,3.02e-05,3.55e-06
0.133,1.79e-05,2.82e-06
0.137,1.05e-05,2.09e-06
0.141,1.21e-05,2.17e-06
0.144,9.99e-06,1.93e-06
0.149,8.53e-06,1.71e-06
0.153,1.05e-05,1.89e-06
0.157,8.01e-06,1.6e-06
0.161,7.26e-06,1.5e-06
0.166,6.27e-06,1.37e-06
0.171,8.65e-06,1.55e-06
0.175,8.95e-06,1.56e-06
0.18,6.85e-06,1.32e-06
0.185,8.43e-06,1.46e-06
0.191,6.84e-06,1.3e-06
0.196,6.59e-06,1.28e-06
0.202,6.87e-06,1.28e-06
0.207,6.31e-06,1.23e-06
0.213,9.11e-06,1.49e-06
0.219,8.74e-06,1.46e-06
0.225,8.7e-06,1.54e-06
0.232,7.74e-06,1.46e-06
0.238,5.41e-06,1.28e-06
0.245,8.54e-06,1.72e-06
0.252,8.85e-06,1.84e-06
0.259,6.83e-06,1.69e-06
0.266,5.68e-06,1.62e-06
0.272,8.4e-06,2.88e-06
