Q;Model Intensity
0.00156;857.0049700843107
0.00168;679.8042076848475
0.00182;529.4754663923396
0.00197;413.6153826004244
0.00212;329.1321943587733
0.00229;258.9706660214225
0.00248;202.2507522431806
0.00267;160.9546837549458
0.00289;126.0738521354107
0.00312;99.62903583430236
0.00337;78.68404515671929
0.00364;62.21299050837754
0.00393;49.31527268445885
0.00424;39.23553944769429
0.00458;31.1559002798879
0.00495;24.74918380482033
0.00534;19.81241515654626
0.00577;15.8270103851729
0.00623;12.70796552875493
0.00673;10.22325853689038
0.00727;8.255650094157369
0.00785;6.702110770608139
0.00848;5.45918460643874
0.00916;4.469525973024557
0.00989;3.682911930682446
0.01068;3.050333200745939
0.01154;2.537546318939783
0.01246;2.127311637489779
0.01346;1.792131736516908
0.01453;1.521055293805971
0.01570;1.295797043308502
0.01695;1.111776332182343
0.01831;0.9575235303549792
0.01977;0.8290021808102781
0.02136;0.7195222820764574
0.02307;0.6266943986907143
0.02491;0.5471974379707134
0.02690;0.4781767751663654
0.02906;0.4175926495933082
0.03138;0.3645778145459992
0.03389;0.3175333032170518
0.03660;0.2756718646815222
0.03953;0.2382538302440662
0.04269;0.2048538410205764
0.04611;0.1749811404326093
0.04980;0.1484640987748136
0.05378;0.1251080389611563
0.05808;0.1047331781652439
0.06273;0.08784669763031208
0.06775;0.07468150370463637
0.07317;0.06441843611628466
0.07902;0.05641910069519619
0.08534;0.05017805734716933
0.09217;0.04530797218998511
0.09954;0.04151329459539673
0.10751;0.03855027663713774
0.11611;0.03624185830821473
0.12539;0.0344428639643801
0.13543;0.03303738810290742
0.14626;0.03194271097541811
0.15796;0.03108866391409476
0.17060;0.03042241051883172
0.18425;0.0299028825204162
0.19899;0.02949776793037849
0.21490;0.0291819722808451
0.23210;0.02893542824978388
0.25066;0.02874331232322145
0.27072;0.02859336136319842
0.29237;0.02847649114006199
0.31576;0.02838530427175117
0.34103;0.02831416361818093
0.36831;0.02825870408220933
0.39777;0.02821545034826382
0.42959;0.02818170988825262
0.46396;0.02815539043193059
0.49090;0.02813984807325996
