Q;ModelIntensity
0.00156;383.142680895325
0.00168;315.2593330707642
0.00182;255.4792292402524
0.00197;207.5830329583535
0.00212;171.3279153711498
0.00229;140.0899286450322
0.00248;113.8456306238352
0.00267;93.99903417123501
0.00289;76.59113086883458
0.00312;62.87314985449039
0.00337;51.58518852323253
0.00364;42.36070484304142
0.00393;34.85464203299183
0.00424;28.76022598800046
0.00458;23.68434991524593
0.00495;19.50039073636503
0.00534;16.15008216006833
0.00577;13.34009401034564
0.00623;11.05514716611737
0.00673;9.164568554279478
0.00727;7.61001314872891
0.007849999999999999;6.336331373082839
0.00848;5.279651122052401
0.00916;4.407905233513141
0.009889999999999999;3.690894085230107
0.01068;3.095105880562061
0.01154;2.596864148603397
0.01246;2.186521894349616
0.01346;1.842255723129154
0.01453;1.557193274934713
0.0157;1.31547563908572
0.01695;1.114739683862846
0.01831;0.9444278528126856
0.01977;0.801471909151572
0.02136;0.6794150366575512
0.02307;0.5762438322987895
0.02491;0.4886526557427168
0.0269;0.4136855838429468
0.02906;0.3491833952318796
0.03138;0.2941556049680599
0.03389;0.2467893625603151
0.0366;0.2060979158703741
0.03953;0.1711302222047962
0.04269;0.1412326067928174
0.04611;0.1156991513273896
0.0498;0.09411242051848798
0.05378;0.0761096439136362
0.05808;0.06183207106360947
0.06272999999999999;0.05064318931400383
0.06775;0.04188244816156211
0.07317;0.03501468331352395
0.07902000000000001;0.02962652193310521
0.08534;0.02539086772347824
0.09217;0.0220572948194296
0.09954;0.01943493481655312
0.10751;0.0173655945383199
0.11611;0.01573468540301446
0.12539;0.0144476408313212
0.13543;0.01342841178126666
0.14626;0.01262293444230745
0.15796;0.01198468038705463
0.1706;0.01147847949940858
0.18425;0.01107679463829083
0.19899;0.01075774259872907
0.2149;0.01050416968787576
0.2321;0.0103021435818683
0.25066;0.01014134274007416
0.27072;0.01001302949387442
0.29237;0.009910699700558559
0.31576;0.009828933621160151
0.34103;0.009763550697802159
0.36831;0.009711265623211519
0.39777;0.009669403949687638
0.42959;0.009635856103134968
0.46396;0.0096089512139416
0.4909;0.009592663385701194
