Q;model Intensity
0.00156;893.7965622569831
0.00168;709.945220156036
0.00182;553.7238189373684
0.00197;433.1256069008657
0.00212;345.0527517470219
0.00229;271.8030973898331
0.00248;212.499287212683
0.00267;169.2617186203686
0.00289;132.6928469739583
0.00312;104.9329324900057
0.00337;82.9206212610012
0.00364;65.59155918920521
0.00393;52.00884788186666
0.00424;41.38487493460811
0.00458;32.86299007388826
0.00495;26.10183240197514
0.00534;20.88996002782028
0.00577;16.68166723576396
0.00623;13.38824185974141
0.00673;10.76525605156639
0.00727;8.689153571272783
0.007849999999999999;7.051157206904985
0.00848;5.741958935794528
0.00916;4.700830510563485
0.009889999999999999;3.874526709592879
0.01068;3.211138797301561
0.01154;2.674353684085819
0.01246;2.245722814304198
0.01346;1.89614238740374
0.01453;1.613864916302401
0.0157;1.379570536890544
0.01695;1.188265568032737
0.01831;1.027842590949872
0.01977;0.8939692048548977
0.02136;0.7795854558796844
0.02307;0.6821446441812847
0.02491;0.5981578772400771
0.0269;0.5246364160159318
0.02906;0.4594567599171405
0.03138;0.4017689072297619
0.03389;0.3499421234638037
0.0366;0.3032310691051575
0.03953;0.2609481021088645
0.04269;0.2227611745139434
0.04611;0.1882622796326417
0.0498;0.1584861833287198
0.05378;0.1340870094116145
0.05808;0.1140555405150597
0.06272999999999999;0.09759334407695773
0.06775;0.08408471422454947
0.07317;0.07299414007300686
0.07902000000000001;0.06388796568545878
0.08534;0.05640181436551931
0.09217;0.05024463863796537
0.09954;0.04518672902989647
0.10751;0.04102197433426772
0.11611;0.03759953746828668
0.12539;0.03478574023855978
0.13543;0.03246605187817299
0.14626;0.03055912974403349
0.15796;0.02898861358916757
0.1706;0.02769500566124447
0.18425;0.02662974562897312
0.19899;0.02575238165406977
0.2149;0.02502990014902142
0.2321;0.02443395544024102
0.25066;0.0239432348594009
0.27072;0.02353843604858913
0.29237;0.02320495235927259
0.31576;0.02292988715990717
0.34103;0.0227029966632164
0.36831;0.02251596251652579
0.39777;0.02236170113012699
0.42959;0.02223443268518514
0.46396;0.02212942278129942
0.4909;0.02206428319177824
