Q;ModelIntensity
0.00156;151.1080526108325
0.00168;124.4718512562644
0.00182;100.9661800029509
0.00197;82.09541577255359
0.00212;67.78590108988001
0.00229;55.43731533478776
0.00248;45.04789948017554
0.00267;37.18176424824916
0.00289;30.2756039851928
0.00312;24.82939058456193
0.00337;20.34595445203675
0.00364;16.68156315439372
0.00393;13.70030696975081
0.00424;11.28093744913867
0.00458;9.267636290911925
0.00495;7.610182484400019
0.00534;6.285156542026985
0.00577;5.176110432289525
0.00623;4.276546802177561
0.00673;3.534434053830919
0.00727;2.926296656863673
0.007849999999999999;2.429944260826033
0.00848;2.019904647423985
0.00916;1.683194805555817
0.009889999999999999;1.407616749221295
0.01068;1.179808445060311
0.01154;0.9903037504285005
0.01246;0.8350458408699245
0.01346;0.705432695628468
0.01453;0.5985839077786496
0.0157;0.5083079181645164
0.01695;0.433518912931189
0.01831;0.3701176417343995
0.01977;0.31683770608379
0.02136;0.2711837821218315
0.02307;0.2323484563477577
0.02491;0.1990706903142206
0.0269;0.170238585613051
0.02906;0.1450556525396565
0.03138;0.1231980119746812
0.03389;0.1040314422479088
0.0366;0.08725540702172688
0.03953;0.07258800036379626
0.04269;0.05986931825403556
0.04611;0.04890893634214953
0.0498;0.03982398108672962
0.05378;0.03268362424354143
0.05808;0.02706348601375368
0.06272999999999999;0.02263209806769007
0.06775;0.01914050170656217
0.07317;0.01638568680528089
0.07902000000000001;0.01421012694384689
0.08534;0.01248841467713998
0.09217;0.01112410386350619
0.09954;0.01004340077029933
0.10751;0.009184585303665845
0.11611;0.008502890202238272
0.12539;0.007961043570340592
0.13543;0.007528822863998213
0.14626;0.00718474118971093
0.15796;0.006910083531284143
0.1706;0.006690639398174961
0.18425;0.006515212216793249
0.19899;0.006374838729917618
0.2149;0.006262446833394667
0.2321;0.006172239510402273
0.25066;0.006099910246980361
0.27072;0.00604177050270807
0.29237;0.005995065753815695
0.31576;0.005957476257906696
0.34103;0.005927202405538064
0.36831;0.005902820773807811
0.39777;0.005883162214977372
0.42959;0.005867298065647567
0.46396;0.005854487575080421
0.4909;0.005846686073512661
